ticker,name,sector,industry,price,market_cap,eps0,eps1,eps2,eg1,eg2,pe1,pe2,peg1,peg2,pe_implausible,sector_pe1,sector_eg1,sector_pe1_mean
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,25.959999084472656,28583972501.453384,2.83,3.2164257028112453,3.655616361026436,0.1365461847389559,0.13654618473895602,8.071070648945161,7.101401383700866,0.591087232819807,0.5200732189827979,False,24.37544947652672,0.18871373771277855,37.44019231073693
VICR,Vicor Corporation,Industrials,Electrical Components & Equipment,253.5,6839163571.5,2.04,3.06,4.59,0.5,0.49999999999999994,82.84313725490196,55.22875816993464,1.6568627450980393,1.104575163398693,False,26.16367280461197,0.1419973073572504,33.292022761598915
VIR,"Vir Biotechnology, Inc.",Health Care,Biotechnology,9.390000343322754,1588937903.7156887,-2.35,-2.35,,0.0,,,,,,False,26.111110051472984,0.13106796116504843,35.670037593695405
VIRT,"Virtu Financial, Inc.",Financials,Financial Exchanges & Data,59.5,5167743801.5,6.13,9.195,13.7925,0.5000000000000001,0.5,6.4709081022294725,4.313938734819648,0.12941816204458942,0.08627877469639296,False,12.175904990939271,0.2321522761151244,16.818363553496667
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,347.19000244140625,99965535887.5379,22.65,33.974999999999994,50.96249999999999,0.49999999999999983,0.5,10.218984619320274,6.812656412880183,0.20437969238640555,0.13625312825760366,False,18.15927134438993,0.0,31.84763181292061
VLTO,Veralto,Industrials,Environmental & Facilities Services,96.75,23761728985.5,3.76,4.336687116564417,5.00182317738718,0.15337423312883441,0.15337423312883433,22.30965651878678,19.342946875331094,1.4545896050248976,1.2611601362715876,False,26.16367280461197,0.1419973073572504,33.292022761598915
VLY,Valley Bank,Financials,Regional Banks,14.9399995803833,8255921844.557619,1.07,1.605,2.4074999999999998,0.4999999999999999,0.4999999999999999,9.308410953509846,6.205607302339897,0.18616821907019696,0.12411214604679797,False,12.175904990939271,0.2321522761151244,16.818363553496667
VMC,Vulcan Materials Company,Materials,Construction Materials,278.1499938964844,36091320470.78903,7.47,8.316080476900149,9.257991231362759,0.11326378539493298,0.1132637853949329,33.44724653267976,30.044313819850228,2.9530397925563308,2.6525966543578305,False,19.867320548497293,0.18077595481441627,23.483754427797003
VMI,Valmont Industries,Industrials,Industrial Machinery & Supplies & Components,506.7900085449219,9783509150.778503,15.1,12.91109852774632,11.03950100617041,-0.1449603624009059,-0.14496036240090604,39.25227643920582,45.90696701432946,,,False,26.16367280461197,0.1419973073572504,33.292022761598915
VNO,Vornado Realty Trust,Real Estate,Office REITs,37.900001525878906,7076708409.81292,3.72,5.58,8.370000000000001,0.49999999999999994,0.5000000000000001,6.792114968795503,4.528076645863668,0.13584229937591008,0.09056153291727333,False,24.37544947652672,0.18871373771277855,37.44019231073693
VNOM,Viper Energy,Energy,Oil & Gas Storage & Transportation,43.04999923706055,8074156506.908417,1.02,1.02,,0.0,,42.20588160496132,,,,False,18.15927134438993,0.0,31.84763181292061
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,32.33000183105469,4371016247.558594,2.18,1.885873015873016,1.6314298311917363,-0.13492063492063497,-0.13492063492063475,17.14325490578609,19.816973560816944,,,False,32.824054964173854,0.16017875776961116,46.8792043447928
VOYA,Voya Financial,Financials,Multi-Sector Holdings,100.13999938964844,9072318333.564377,6.18,5.786727272727273,5.418480991735537,-0.06363636363636359,-0.06363636363636367,17.3051181903122,18.481194183828563,,,False,12.175904990939271,0.2321522761151244,16.818363553496667
VRRM,Verra Mobility Corporation,Industrials,Data Processing & Outsourced Services,4.599999904632568,699120883.9057903,0.38,0.19,0.095,-0.5,-0.5,24.21052581385562,48.42105162771124,,,False,26.16367280461197,0.1419973073572504,33.292022761598915
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,175.6199951171875,23010054901.04492,6.8,7.113846153846154,7.4421775147929,0.046153846153846226,0.04615384615384618,24.687066787666925,23.59793148821103,5.348864470661159,5.112885155779054,False,26.16367280461197,0.1419973073572504,33.292022761598915
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,272.7699890136719,24631130007.93457,2.0700000000000003,3.1050000000000004,4.657500000000001,0.5,0.5,87.84862770166565,58.56575180111043,1.756972554033313,1.1713150360222087,False,32.824054964173854,0.16017875776961116,46.8792043447928
VRT,Vertiv,Industrials,Electrical Components & Equipment,292.42999267578125,112582088610.6524,4.11,6.165000000000001,9.247500000000002,0.5000000000000001,0.5000000000000001,47.43389986630677,31.622599910871173,0.9486779973261351,0.6324519982174233,False,26.16367280461197,0.1419973073572504,33.292022761598915
VRTS,"Virtus Investment Partners, Inc.",Financials,Asset Management & Custody Banks,168.13999938964844,1113539092.5578308,18.5,21.009821976672804,23.860141594134245,0.13566605279312452,0.13566605279312455,8.002923564813363,7.046898641665388,0.5898987550715374,0.5194297686548833,False,12.175904990939271,0.2321522761151244,16.818363553496667
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,515.5499877929688,130671776274.19458,16.52,16.52,,0.0,,31.20762637971966,,,,False,26.111110051472984,0.13106796116504843,35.670037593695405
VSAT,"Viasat, Inc.",Information Technology,Communications Equipment,81.41000366210938,11214700996.576843,-1.08,-1.08,,0.0,,,,,,False,32.824054964173854,0.16017875776961116,46.8792043447928
VSEC,VSE Corporation,Industrials,Aerospace & Defense,243.47999572753903,6833259262.653502,2.3000000000000003,2.3000000000000003,,0.0,,105.86086770762566,,,,False,26.16367280461197,0.1419973073572504,33.292022761598915
VSH,Vishay Intertechnology,Information Technology,Electronic Components,35.58000183105469,4666087179.850983,0.19,0.1640909090909091,0.14171487603305788,-0.13636363636363635,-0.13636363636363621,216.83103608952996,251.06751547208725,,,True,32.824054964173854,0.16017875776961116,46.8792043447928
VSNT,"Versant Media Group, Inc.",Communication Services,Cable & Satellite,39.22999954223633,5591608754.753113,,,,,,,,,,False,16.09388154288399,0.09932629665828746,22.61772188630623
